"ListTitle","Title","InternalName","TypeAsString","Required","ReadOnlyField","Hidden","DefaultValue","Choices"
"Projetos","PlannerSyncStatus","PlannerSyncStatus","Choice","False","False","False",,"OK|Erro|Pendente"
"Projetos","ResumoExecutivo","ResumoExecutivo","Note","False","False","False",,""
"Projetos","DiasSemUpdate","DiasSemUpdate","Number","False","False","False",,""
"Projetos","Deleted","Deleted","Boolean","False","False","False","0",""
"Projetos","DeletedAt","DeletedAt","DateTime","False","False","False",,""
"Projetos","DeletedReason","DeletedReason","Text","False","False","False",,""
"Projetos","DeletedByUPN","DeletedByUPN","Text","False","False","False",,""
"Projetos","ID","ID","Counter","False","True","False",,""
"Projetos","Tipo de contenido","ContentType","Computed","False","False","False",,""
"Projetos","Modificado","Modified","DateTime","False","True","False",,""
"Projetos","Creado","Created","DateTime","False","True","False",,""
"Projetos","Creado por","Author","User","False","True","False",,""
"Projetos","Modificado por","Editor","User","False","True","False",,""
"Projetos","Tiene destinos de copia","_HasCopyDestinations","Boolean","False","True","True",,""
"Projetos","Copiar origen","_CopySource","Text","False","True","True",,""
"Projetos","owshiddenversion","owshiddenversion","Integer","False","True","True",,""
"Projetos","Versión del flujo de trabajo","WorkflowVersion","Integer","False","True","True",,""
"Projetos","Versión de IU","_UIVersion","Integer","False","True","True",,""
"Projetos","Versión","_UIVersionString","Text","False","True","False",,""
"Projetos","Datos adjuntos","Attachments","Attachments","False","False","False",,""
"Projetos","Estado de aprobación","_ModerationStatus","ModStat","False","True","True","0","0;#Aprobado|1;#Rechazado|2;#En espera|3;#Borrador|4;#Programado"
"Projetos","Editar","Edit","Computed","False","True","False",,""
"Projetos","Título","LinkTitleNoMenu","Computed","False","True","False",,""
"Projetos","Título","LinkTitle","Computed","False","True","False",,""
"Projetos","Título","LinkTitle2","Computed","False","True","True",,""
"Projetos","Seleccionar","SelectTitle","Computed","False","True","True",,""
"Projetos","Id. de instancia","InstanceID","Integer","False","True","True",,""
"Projetos","Orden","Order","Number","False","False","True",,""
"Projetos","GUID","GUID","Guid","False","True","True",,""
"Projetos","Id. de instancia de flujo de trabajo","WorkflowInstanceID","Guid","False","True","True",,""
"Projetos","Dirección URL","FileRef","Lookup","False","True","True",,""
"Projetos","Ruta de acceso","FileDirRef","Lookup","False","True","True",,""
"Projetos","Modificado","Last_x0020_Modified","Lookup","False","True","True",,""
"Projetos","Creado","Created_x0020_Date","Lookup","False","True","True",,""
"Projetos","Tipo de elemento","FSObjType","Lookup","False","True","True",,""
"Projetos","Tipo de ordenación","SortBehavior","Lookup","False","True","True",,""
"Projetos","Máscara de permisos efectivos","PermMask","Computed","False","True","True",,""
"Projetos","Recuento de entidades de seguridad","PrincipalCount","Computed","False","True","True",,""
"Projetos","Nombre","FileLeafRef","File","False","False","True",,""
"Projetos","Id. único","UniqueId","Lookup","False","True","True",,""
"Projetos","Identificador primario de documento","ParentUniqueId","Lookup","False","True","True",,""
"Projetos","Identificador del cliente","SyncClientId","Lookup","False","True","True",,""
"Projetos","ProgId","ProgId","Lookup","False","True","True",,""
"Projetos","ScopeId","ScopeId","Lookup","False","True","True",,""
"Projetos","Tipo de archivo HTML","HTML_x0020_File_x0020_Type","Computed","False","True","True",,""
"Projetos","Editar inicio de tabla de menús","_EditMenuTableStart","Computed","False","True","True",,""
"Projetos","Editar inicio de tabla de menús","_EditMenuTableStart2","Computed","False","True","True",,""
"Projetos","Editar fin de tabla de menús","_EditMenuTableEnd","Computed","False","True","True",,""
"Projetos","Nombre","LinkFilenameNoMenu","Computed","False","True","True",,""
"Projetos","Nombre","LinkFilename","Computed","False","True","True",,""
"Projetos","Nombre","LinkFilename2","Computed","False","True","True",,""
"Projetos","Tipo","DocIcon","Computed","False","True","False",,""
"Projetos","Dirección URL relativa al servidor","ServerUrl","Computed","False","True","True",,""
"Projetos","Dirección URL absoluta codificada","EncodedAbsUrl","Computed","False","True","True",,""
"Projetos","Nombre de archivo","BaseName","Computed","False","True","True",,""
"Projetos","Contenedor de propiedades","MetaInfo","Lookup","False","False","True",,""
"Projetos","Nivel","_Level","Integer","False","True","True",,""
"Projetos","es la versión actual","_IsCurrentVersion","Boolean","False","True","True",,""
"Projetos","Número secundario de elemento","ItemChildCount","Lookup","False","True","False",,""
"Projetos","Recuento secundario de carpetas","FolderChildCount","Lookup","False","True","False",,""
"Projetos","Restringido","Restricted","Lookup","False","True","True",,""
